Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
46,553;0;-1;0,452408924;0,441215158;-0,36345776;60,5487228;61,34048897;0,122074038;0,145018263;0,122074038;0,112831396;108,865627;110,1395645;;;;;;;;;;
46,554;0;-1;0,452408924;0,441215158;-0,343811395;60,5487228;61,3402748;0,134281442;0,144951653;0,109866634;0,112864565;108,8167974;110,1396433;;;;;;;;;;
46,555;0;-1;0,452408924;0,441215158;-0,373280943;60,5609302;61,34006129;0,134281442;0,144923544;0,109866634;0,112859337;108,865627;110,1395687;;;;;;;;;;
46,556;0;-1;0,452408924;0,441215158;-0,373280943;60,5487228;61,33988674;0,146488845;0,144895522;0,109866634;0,112854124;108,8412122;110,1396475;;;;;;;;;;
46,557;0;-1;0,452408924;0,441215158;-0,353634578;60,5487228;61,33967444;0,134281442;0,144905881;0,109866634;0,112848928;108,80459;110,1396495;;;;;;;;;;
46,558;0;-1;0,452381498;0,44118384;-0,353634578;60,5487228;61,33946279;0,134281442;0,144877914;0,109866634;0,112843748;108,80459;110,1395366;;;;;;;;;;
46,559;0;-1;0,452381498;0,44118384;-0,353634578;60,5609302;61,3392518;0,134281442;0,144850033;0,109866634;0,112838584;108,80459;110,139424;;;;;;;;;;
46,56;0;-1;0,452381498;0,44118384;-0,383104126;60,57313761;61,33907976;0,134281442;0,144822239;0,09765923;0,112833436;108,8534196;110,1393118;;;;;;;;;;
46,561;0;-1;0,452381498;0,44118384;-0,353634578;60,59755242;61,33894654;0,134281442;0,144794531;0,109866634;0,112790009;108,8167974;110,1393531;;;;;;;;;;
46,562;0;-1;0,452381498;0,44118384;-0,36345776;60,59755242;61,33889033;0,134281442;0,144766909;0,109866634;0,112785012;108,80459;110,1392794;;;;;;;;;;
46,563;0;-1;0,452381498;0,44118384;-0,383104126;60,59755242;61,33883429;0,134281442;0,144739372;0,109866634;0,11278003;108,80459;110,1391676;;;;;;;;;;
46,564;0;-1;0,452381498;0,44118384;-0,36345776;60,59755242;61,33877843;0,134281442;0,144711921;0,09765923;0,112775064;108,8534196;110,1390562;;;;;;;;;;
46,565;0;-1;0,452381498;0,44118384;-0,392927308;60,59755242;61,33872273;0,134281442;0,144684555;0,09765923;0,112731818;108,8534196;110,1390983;;;;;;;;;;
46,566;0;-1;0,452381498;0,44118384;-0,353634578;60,60975982;61,33866722;0,134281442;0,144657274;0,109866634;0,112688706;108,7801752;110,1391403;;;;;;;;;;
46,567;0;-1;0,452381498;0,44118384;-0,373280943;60,59755242;61,33865016;0,134281442;0,144630077;0,109866634;0,112684023;108,7557604;110,1389524;;;;;;;;;;
46,568;0;-1;0,452381498;0,44118384;-0,392927308;60,59755242;61,33859487;0,134281442;0,144602965;0,109866634;0,112679354;108,7557604;110,1386884;;;;;;;;;;
46,569;0;-1;0,452381498;0,44118384;-0,36345776;60,60975982;61,33853975;0,134281442;0,144575936;0,09765923;0,1126747;108,7923826;110,1384253;;;;;;;;;;
46,57;0;-1;0,452381498;0,44118384;-0,36345776;60,59755242;61,33852309;0,146488845;0,144548992;0,09765923;0,112631765;108,7923826;110,1382779;;;;;;;;;;
46,571;0;-1;0,452408924;0,441215158;-0,373280943;60,60975982;61,33846819;0,146488845;0,144560425;0,09765923;0,112588964;108,7557604;110,138131;;;;;;;;;;
46,572;0;-1;0,452408924;0,441215158;-0,36345776;60,60975982;61,33845176;0,146488845;0,144571824;0,109866634;0,112546295;108,80459;110,1378696;;;;;;;;;;
46,573;0;-1;0,452408924;0,441215158;-0,383104126;60,60975982;61,33843537;0,146488845;0,144583186;0,109866634;0,112542053;108,80459;110,1377622;;;;;;;;;;
46,574;0;-1;0,452408924;0,441215158;-0,383104126;60,60975982;61,33841904;0,146488845;0,144594514;0,109866634;0,112537824;108,80459;110,1376551;;;;;;;;;;
46,575;0;-1;0,452408924;0,441215158;-0,373280943;60,60975982;61,33840276;0,146488845;0,144605807;0,109866634;0,112533609;108,7679678;110,1375484;;;;;;;;;;
46,576;0;-1;0,452408924;0,441215158;-0,392927308;60,59755242;61,33838653;0,146488845;0,144617064;0,109866634;0,112529406;108,7923826;110,1373271;;;;;;;;;;
46,577;0;-1;0,452408924;0,441215158;-0,383104126;60,5609302;61,33833205;0,146488845;0,144628287;0,109866634;0,112525217;108,8534196;110,1371831;;;;;;;;;;
46,578;0;-1;0,452408924;0,441215158;-0,392927308;60,5609302;61,33816286;0,146488845;0,144639474;0,109866634;0,11252104;108,8534196;110,137231;;;;;;;;;;
46,579;0;-1;0,452408924;0,441215158;-0,373280943;60,5365154;61,33799419;0,146488845;0,144650628;0,109866634;0,112516877;108,865627;110,1372788;;;;;;;;;;
0,001;0,65;-1;0,452408924;0,441215158;-0,373280943;60,5365154;61,33774946;0,146488845;0,144661746;0,109866634;0,112512726;108,80459;110,1373647;;;;;;;;;;
0,002;0,65;-1;0,452436348;0,441246477;-0,383104126;60,5365154;61,33750548;0,134281442;0,14467283;0,09765923;0,112508588;108,8167974;110,1372588;;;;;;;;;;
0,003;0,65;-1;0,452436348;0,441246477;-0,392927308;60,5487228;61,33726227;0,134281442;0,144645585;0,09765923;0,112466168;108,8778344;110,1371916;;;;;;;;;;
0,004;0,65;-1;0,452436348;0,441246477;-0,402750491;60,5487228;61,3370581;0,134281442;0,144618425;0,09765923;0,11242388;108,8778344;110,1373161;;;;;;;;;;
0,005;0,65;-1;0,452408924;0,441215158;-0,383104126;60,5609302;61,33685456;0,134281442;0,144591349;0,09765923;0,112381723;108,8534196;110,1374402;;;;;;;;;;
0,006;0,65;-1;0,452408924;0,441215158;-0,373280943;60,57313761;61,33668995;0,134281442;0,144564356;0,09765923;0,112339697;108,8412122;110,1374873;;;;;;;;;;
0,007;0,65;-1;0,452408924;0,441215158;-0,392927308;60,5609302;61,33656414;0,134281442;0,144537448;0,09765923;0,112297801;108,9022492;110,137496;;;;;;;;;;
0,008;0,65;-1;0,452408924;0,441215158;-0,353634578;60,5487228;61,33640043;0,134281442;0,144510623;0,073244423;0,112256035;108,8900418;110,1376961;;;;;;;;;;
