Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:43:07.601;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:44:03.687;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,063;0,006043701;0,07812763;0,076918259;0;72,87820063;72,36701708;0,122074038;0,139334711;0,073244423;0,10853408;120,1696829;121,8155831;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,52E-70;3,91E-68;0;0;3,52E-70;0,030269128
0,064;0,006276151;0,078160607;0,076949577;0;72,68288217;72,37129824;0,122074038;0,13928572;0,09765923;0,108427392;120,2673421;121,814927;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,17E-70;3,52E-68;0;0;3,17E-70;0,030269128
0,065;0,006508601;0,07812763;0,076918259;0;72,68288217;72,37495342;0,122074038;0,13923688;0,09765923;0,108397624;120,2673421;121,8145794;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,85E-70;3,17E-68;0;0;2,85E-70;0,030269128
0,066;0,006741051;0,078160607;0,076949577;0;72,4631489;72,37859727;0,122074038;0,139188192;0,09765923;0,108367949;120,2429273;121,8142329;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,57E-70;2,85E-68;0;0;2,57E-70;0,030269128
0,067;0,006741051;0,078160607;0,076949577;0;72,26783044;72,38154051;0,122074038;0,139139655;0,09765923;0,108338365;120,1940977;121,8138108;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,31E-70;2,57E-68;0;0;2,31E-70;0,030269128
0,068;0,006276151;0,078160607;0,076949577;0;72,07251198;72,38386192;0,122074038;0,139091269;0,09765923;0,108308873;120,2063051;121,8132369;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,08E-70;2,31E-68;0;0;2,08E-70;0,030269128
0,069;0,005578801;0,078160607;0,076949577;0;71,87719352;72,38556342;0,122074038;0,139043032;0,073244423;0,108279473;120,2551347;121,812703;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,87E-70;2,08E-68;0;0;1,87E-70;0,030269128
0,07;0,004649;0,078193584;0,076980896;0;71,87719352;72,38664693;0,122074038;0,138994945;0,073244423;0,108173574;120,2551347;121,812324;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,68E-70;1,87E-68;0;0;1,68E-70;0,030269128
0,071;0,00441655;0,078193584;0,076980896;0;71,65746025;72,38772708;0,109866634;0,138947007;0,09765923;0,108068004;120,2063051;121,8119462;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,52E-70;1,68E-68;0;0;1,52E-70;0,030269128
0,072;0,00441655;0,078193584;0,076980896;0;71,46214179;72,38811458;0,122074038;0,138860923;0,09765923;0,10803935;120,1940977;121,8114163;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,36E-70;1,52E-68;0;0;1,36E-70;0,030269128
0,073;0,00441655;0,078193584;0,076980896;0;71,29123814;72,38788816;0,122074038;0,1388134;0,073244423;0,108010785;120,2551347;121,8108498;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,23E-70;1,36E-68;0;0;1,23E-70;0,030269128
0,074;0,004649;0,078193584;0,076980896;0;71,04709006;72,38712632;0,122074038;0,138766025;0,073244423;0,107905719;120,2673421;121,8104765;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,11E-70;1,23E-68;0;0;1,11E-70;0,030269128
0,075;0,005113901;0,078193584;0,076980896;0;71,04709006;72,38560095;0,122074038;0,138718796;0,073244423;0,107800979;120,2673421;121,8101427;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-9,95E-71;1,11E-68;0;0;9,95E-71;0,030269128
0,076;0,005578801;0,078193584;0,076980896;0;70,88839381;72,38408031;0,122074038;0,138671714;0,073244423;0,107696564;120,2185125;121,8098099;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-8,95E-71;9,95E-69;0;0;8,95E-71;0,030269128
0,077;0,005578801;0,078193584;0,076980896;0;70,69307535;72,38206655;0,122074038;0,138624778;0,073244423;0,107592472;120,2673421;121,809325;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-8,06E-71;8,95E-69;0;0;8,06E-71;0,030269128
0,078;0,006508601;0,078226563;0,077012214;0;70,50996429;72,37944632;0,122074038;0,138577988;0,073244423;0,107488704;120,3039644;121,8089947;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-7,25E-71;8,06E-69;0;0;7,25E-71;0,030269128
0,079;0,007438401;0,078226563;0,077012214;0;70,32685324;72,3762598;0,122074038;0,138531342;0,073244423;0,107385256;120,2551347;121,8087804;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,53E-71;7,25E-69;0;0;6,53E-71;0,030269128
0,08;0,008135751;0,078226563;0,077012214;0;70,32685324;72,37250873;0,122074038;0,138484841;0,073244423;0,10728213;120,2551347;121,8084135;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,87E-71;6,53E-69;0;0;5,87E-71;0,030269128
0,081;0,008135751;0,078226563;0,077012214;0;70,14374218;72,36876929;0,122074038;0,138438485;0,073244423;0,107179323;120,2429273;121,8080478;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,29E-71;5,87E-69;0;0;5,29E-71;0,030269128
0,082;0,008135751;0,078226563;0,077012214;0;69,96063112;72,36446703;0,122074038;0,138392271;0,073244423;0,107076835;120,2795495;121,8076449;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,76E-71;5,29E-69;0;0;4,76E-71;0,030269128
0,083;0,007903301;0,078226563;0,077012214;0;69,77752007;72,35960368;0,122074038;0,138346202;0,073244423;0,106974664;120,291757;121,8073582;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,28E-71;4,76E-69;0;0;4,28E-71;0,030269128
0,084;0,007670851;0,078193584;0,076980896;0;69,59440901;72,35418099;0,122074038;0,138300275;0,061037019;0,106872811;120,2063051;121,8071106;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,85E-71;4,28E-69;0;0;3,85E-71;0,030269128
0,085;0,007438401;0,078226563;0,077012214;0;69,59440901;72,34820069;0,122074038;0,13825449;0,061037019;0,106732978;120,2063051;121,8065957;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,47E-71;3,85E-69;0;0;3,47E-71;0,030269128
