Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,05;5,56E-54;0,007205951;0,034629916;0,034606953;-0,343811395;71,42551958;72,10759186;0,146488845;0,13257788;0,109866634;0,105998583;101,3458663;102,5794317;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,56E-54;6,18E-52;0
0,051;5,00E-54;0,007205951;0,034629916;0,034606953;-0,353634578;71,43772698;72,10812018;0,146488845;0,132626424;0,109866634;0,106014639;101,4069033;102,5793574;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,00E-54;5,56E-52;0
0,052;4,50E-54;0,008135751;0,034598438;0,034575634;-0,36345776;71,46214179;72,10868516;0,146488845;0,132674818;0,109866634;0,106030645;101,3824885;102,5794749;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,50E-54;5,00E-52;0
0,053;4,05E-54;0,009065551;0,034598438;0,034575634;-0,353634578;71,46214179;72,10932498;0,146488845;0,132723062;0,109866634;0,106046602;101,3824885;102,5795154;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,05E-54;4,50E-52;0
0,054;3,65E-54;0,009065551;0,034598438;0,034575634;-0,373280943;71,42551958;72,10996281;0,146488845;0,132771156;0,109866634;0,106062509;101,3580737;102,5795557;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,65E-54;4,05E-52;0
0,055;3,28E-54;0,008368201;0,034598438;0,034575634;-0,343811395;71,43772698;72,11048378;0,146488845;0,1328191;0,109866634;0,106078367;101,4069033;102,5795194;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,28E-54;3,65E-52;0
0,056;2,95E-54;0,009298001;0,034598438;0,034575634;-0,383104126;71,42551958;72,11104143;0,134281442;0,132866897;0,109866634;0,106094176;101,4191107;102,5796363;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,95E-54;3,28E-52;0
0,057;2,66E-54;0,008833101;0,034598438;0,034575634;-0,343811395;71,42551958;72,11155905;0,134281442;0,13287625;0,109866634;0,106109935;101,3824885;102,5797912;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,66E-54;2,95E-52;0
0,058;2,39E-54;0,008135751;0,034598438;0,034575634;-0,373280943;71,42551958;72,11207508;0,134281442;0,132885575;0,109866634;0,106125646;101,3824885;102,5798307;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,39E-54;2,66E-52;0
0,059;2,15E-54;0,008135751;0,034598438;0,034575634;-0,36345776;71,41331217;72,1125895;0,134281442;0,13289487;0,109866634;0,106141308;101,3580737;102,5798701;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,15E-54;2,39E-52;0
0,06;1,94E-54;0,007438401;0,034598438;0,034575634;-0,343811395;71,41331217;72,11306403;0,134281442;0,132904137;0,09765923;0,106156922;101,4069033;102,5798328;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,94E-54;2,15E-52;0
0,061;1,74E-54;0,007205951;0,034629916;0,034606953;-0,353634578;71,40110477;72,11353709;0,134281442;0,132913375;0,109866634;0,106134193;101,3824885;102,5799488;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,74E-54;1,94E-52;0
0,062;1,57E-54;0,006043701;0,034629916;0,034606953;-0,343811395;71,41331217;72,11397039;0,134281442;0,132922585;0,09765923;0,106149828;101,3458663;102,5799878;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,57E-54;1,74E-52;0
0,063;1,41E-54;0,006508601;0,034629916;0,034606953;-0,373280943;71,41331217;72,11444065;0,134281442;0,132931766;0,09765923;0,106127121;101,3458663;102,5799118;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,41E-54;1,57E-52;0
0,064;1,27E-54;0,006508601;0,034629916;0,034606953;-0,304518664;71,41331217;72,11490944;0,122074038;0,132940918;0,09765923;0,106104484;101,3946959;102,5798361;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,27E-54;1,41E-52;0
0,065;1,14E-54;0,007205951;0,034629916;0,034606953;-0,343811395;71,40110477;72,11537678;0,122074038;0,132911747;0,09765923;0,106081917;101,4191107;102,5799137;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,14E-54;1,27E-52;0
0,066;1,03E-54;0,007438401;0,034629916;0,034606953;-0,333988212;71,41331217;72,11580438;0,122074038;0,132882667;0,09765923;0,10605942;101,3824885;102,5800678;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,03E-54;1,14E-52;0
