Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,051;0,006741051;0,13701006;0,131381146;0;69,03286843;69,84332637;0,146488845;0,142914252;0,09765923;0,107198756;123,7830744;125,2427956;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,99E-60;3,33E-58;0;0;2,99E-60;-0,00938095
0,052;0,007205951;0,13701006;0,131381146;0;69,03286843;69,84336816;0,158696249;0,142930754;0,09765923;0,107172797;123,831904;125,2428504;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,69E-60;2,99E-58;0;0;2,69E-60;-0,00938095
0,053;0,007903301;0,13701006;0,131381146;0;69,05728324;69,84340983;0,158696249;0,142985498;0,09765923;0,107146918;123,770867;125,2430583;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,42E-60;2,69E-58;0;0;2,42E-60;-0,00938095
0,054;0,008368201;0,137044619;0,131412465;0;69,05728324;69,84352796;0,158696249;0,143040073;0,09765923;0,10712112;123,7220374;125,243074;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,18E-60;2,42E-58;0;0;2,18E-60;-0,00938095
0,055;0,008368201;0,13701006;0,131381146;0;69,05728324;69,84364572;0,158696249;0,143094479;0,09765923;0,107095402;123,7464522;125,2429365;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,96E-60;2,18E-58;0;0;1,96E-60;-0,00938095
0,056;0,008368201;0,13701006;0,131381146;0;69,05728324;69,84376312;0,158696249;0,143148717;0,09765923;0,107069763;123,7464522;125,242876;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,77E-60;1,96E-58;0;0;1,77E-60;-0,00938095
0,057;0,008135751;0,13701006;0,131381146;0;69,05728324;69,84388015;0,158696249;0,143202786;0,09765923;0,107044204;123,7464522;125,2428157;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,59E-60;1,77E-58;0;0;1,59E-60;-0,00938095
0,058;0,007670851;0,13701006;0,131381146;0;69,06949065;69,84399682;0,158696249;0,143256687;0,09765923;0,107018724;123,6976226;125,2427556;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,43E-60;1,59E-58;0;0;1,43E-60;-0,00938095
0,059;0,007205951;0,13701006;0,131381146;0;69,06949065;69,84415142;0,158696249;0,143310422;0,073244423;0,106993323;123,7464522;125,2425425;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,29E-60;1,43E-58;0;0;1,29E-60;-0,00938095
0,06;0,006508601;0,13701006;0,131381146;0;69,06949065;69,84430554;0,158696249;0,143363989;0,09765923;0,106891411;123,8196966;125,2424832;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,16E-60;1,29E-58;0;0;1,16E-60;-0,00938095
0,061;0,006508601;0,13701006;0,131381146;0;69,06949065;69,84445919;0,158696249;0,143417391;0,09765923;0,106866405;123,8196966;125,2426539;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,04E-60;1,16E-58;0;0;1,04E-60;-0,00938095
0,062;0,006043701;0,13701006;0,131381146;0;69,08169805;69,84461235;0,158696249;0,143470627;0,09765923;0,106841476;123,770867;125,2428241;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-9,39E-61;1,04E-58;0;0;9,39E-61;-0,00938095
0,063;0,006276151;0,13701006;0,131381146;0;69,10611286;69,84480334;0,158696249;0,143523699;0,09765923;0,106816624;123,7586596;125,2428405;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-8,45E-61;9,39E-59;0;0;8,45E-61;-0,00938095
0,064;0,006508601;0,13701006;0,131381146;0;69,11832026;69,84507033;0,158696249;0,143576605;0,09765923;0,10679185;123,8196966;125,2428187;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-7,61E-61;8,45E-59;0;0;7,61E-61;-0,00938095
0,065;0,006741051;0,13701006;0,131381146;0;69,13052767;69,84537478;0,146488845;0,143629348;0,09765923;0,106767152;123,831904;125,2429883;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-6,85E-61;7,61E-59;0;0;6,85E-61;-0,00938095
0,066;0,006741051;0,13701006;0,131381146;0;69,13052767;69,84571659;0,146488845;0,143643632;0,09765923;0,106742531;123,831904;125,2431957;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-6,16E-61;6,85E-59;0;0;6,16E-61;-0,00938095
0,067;0,007205951;0,13701006;0,131381146;0;69,10611286;69,84605733;0,146488845;0,143657873;0,073244423;0,106717986;123,7586596;125,2434025;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,55E-61;6,16E-59;0;0;5,55E-61;-0,00938095
0,068;0,006043701;0,13701006;0,131381146;0;69,11832026;69,84632043;0,146488845;0,143672069;0,073244423;0,106616928;123,7830744;125,2433789;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,99E-61;5,55E-59;0;0;4,99E-61;-0,00938095
0,069;0,00488145;0,13701006;0,131381146;0;69,10611286;69,846621;0,134281442;0,143686221;0,09765923;0,106516183;123,8441115;125,2434319;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,49E-61;4,99E-59;0;0;4,49E-61;-0,00938095
0,07;0,0041841;0,13701006;0,131381146;0;69,11832026;69,84688236;0,134281442;0,143662034;0,09765923;0,10649234;123,8196966;125,2436762;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,04E-61;4,49E-59;0;0;4,04E-61;-0,00938095
