Time,<fPistonPosition_G_OPCfPistonPosition>,<fSpoolPosition_G_OPCfSpoolPosition>
0.984 sec,0,-1
0.985 sec,0,-1
0.986 sec,0,-1
0.987 sec,0,-1
0.988 sec,0,-1
0.989 sec,0,-1
0.99 sec,0,-1
0.991 sec,0,-1
0.992 sec,0,-1
0.993 sec,0,-1
0.994 sec,0,-1
0.995 sec,0,-1
0.996 sec,0,-1
0.997 sec,0,-1
0.998 sec,0,-1
0.999 sec,0,-1
1 sec,0,-1
1.001 sec,0,-1
1.002 sec,0,-1
1.003 sec,0,-1
1.004 sec,0,-1
1.005 sec,0,-1
1.006 sec,0,-1
1.007 sec,0,-1
1.008 sec,0,-1
1.009 sec,0,-1
1.01 sec,0,-1
1.011 sec,0,-1
1.012 sec,0,-1
1.013 sec,0,-1
1.014 sec,0,-1
1.015 sec,0,-1
1.016 sec,0,-1
1.017 sec,0,-1
1.018 sec,0,-1
1.019 sec,0,-1
1.02 sec,0,-1
1.021 sec,0,-1
1.022 sec,0,-1
1.023 sec,0,-1
1.024 sec,0,-1
1.025 sec,0,-1
1.026 sec,0,-1
1.027 sec,0,-1
1.028 sec,0,-1
1.029 sec,0,-1
1.03 sec,0,-1
1.031 sec,0,-1
1.032 sec,0,-1
1.033 sec,0,-1
1.034 sec,0,-1
1.035 sec,0,-1
1.036 sec,0,-1
1.037 sec,0,-1
1.038 sec,0,-1
1.039 sec,0,-1
1.04 sec,0,-1
1.041 sec,0,-1
1.042 sec,0,-1
1.043 sec,0,-1
1.044 sec,0,-1
1.045 sec,0,-1
1.046 sec,0,-1
1.047 sec,0,-1
1.048 sec,0,-1
1.049 sec,0,-1
1.05 sec,0,-1
1.051 sec,0,-1
1.052 sec,0,-1
1.053 sec,0,-1
1.054 sec,0,-1
1.055 sec,0,-1
1.056 sec,0,-1
1.057 sec,0,-1
1.058 sec,0,-1
1.059 sec,0,-1
1.06 sec,0,-1
1.061 sec,0,-1
1.062 sec,0,-1
1.063 sec,0,-1
1.064 sec,0,-1
1.065 sec,0,-1
1.066 sec,0,-1
1.067 sec,0,-1
1.068 sec,0,-1
1.069 sec,0,-1
1.07 sec,0,-1
1.071 sec,0,-1
1.072 sec,0,-1
1.073 sec,0,-1
1.074 sec,0,-1
1.075 sec,0,-1
1.076 sec,0,-1
1.077 sec,0,-1
1.078 sec,0,-1
1.079 sec,0,-1
1.08 sec,0,-1
1.081 sec,0,-1
1.082 sec,0,-1
1.083 sec,0,-1
1.084 sec,0,-1
1.085 sec,0,-1
1.086 sec,0,-1
1.087 sec,0,-1
1.088 sec,0,-1
1.089 sec,0,-1
1.09 sec,0,-1
1.091 sec,0,-1
1.092 sec,0,-1
1.093 sec,0,-1
1.094 sec,0,-1
1.095 sec,0,-1
1.096 sec,0,-1
1.097 sec,0,-1
1.098 sec,0,-1
1.099 sec,0,-1
1.1 sec,0,-1
1.101 sec,0,-1
1.102 sec,0,-1
1.103 sec,0,-1
1.104 sec,0,-1
1.105 sec,0,-1
1.106 sec,0,-1
1.107 sec,0,-1
1.108 sec,0,-1
1.109 sec,0,-1
1.11 sec,0,-1
1.111 sec,0,-1
1.112 sec,0,-1
1.113 sec,0,-1
1.114 sec,0,-1
1.115 sec,0,-1
1.116 sec,0,-1
1.117 sec,0,-1
1.118 sec,0,-1
1.119 sec,0,-1
1.12 sec,0,-1
1.121 sec,0,-1
1.122 sec,0,-1
1.123 sec,0,-1
1.124 sec,0,-1
1.125 sec,0,-1
1.126 sec,0,-1
1.127 sec,0,-1
1.128 sec,0,-1
1.129 sec,0,-1
1.13 sec,0,-1
1.131 sec,0,-1
1.132 sec,0,-1
1.133 sec,0,-1
1.134 sec,0,-1
1.135 sec,0,-1
1.136 sec,0,-1
1.137 sec,0,-1
1.138 sec,0,-1
1.139 sec,0,-1
1.14 sec,0,-1
1.141 sec,0,-1
1.142 sec,0,-1
1.143 sec,0,-1
1.144 sec,0,-1
